Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
1986-08-15,1986-08-28,36.124999,37.75,34.625001,37.999999,34294400,54924800,28929600,54924800
1986-08-29,1986-09-12,37.625,31.749999,31.749999,37.999999,33807200,57120000,18916800,58240000
1986-09-15,1986-09-26,32.25,34.25,32.000001,36.375001,55680800,17505600,17505600,84560000
1986-09-29,1986-10-10,33.624999,33.25,31.625,34.750001,52236800,14632800,14632800,52236800
1986-10-13,1986-10-24,33.125,33.000001,32.25,35.249999,24920000,18832800,18832800,51352000
1986-10-27,1986-11-07,33.499999,35.75,33.000001,37.124999,37800000,35789600,21358400,156240000
1986-11-10,1986-11-21,35.875,36.0,34.499999,36.999999,26471200,71680000,12544000,75600000
1986-11-24,1986-12-08,36.249999,42.500001,36.0,43.875,94080000,86800000,55137600,212240000
1986-12-09,1986-12-22,42.374999,42.125,40.375,43.875,75600000,41092800,37777600,75600000
1986-12-23,1987-01-07,42.249999,44.75,40.125,44.874999,61040000,108640000,22467200,108640000
1987-01-08,1987-01-21,44.75,49.0,44.375001,55.750001,72800000,133280000,52931200,193760000
1987-01-22,1987-02-04,48.875,55.0,48.499999,57.250002,118160000,54460000,44654400,139440000
1987-02-05,1987-02-19,55.0,62.374999,51.625,67.375,85120000,78400000,39250400,177520000
1987-02-20,1987-03-05,62.374999,68.499999,59.625003,71.374998,47661600,84560000,47661600,124880000
1987-03-06,1987-03-19,67.249997,68.375003,62.500002,68.499999,44094400,51682400,44094400,75600000
1987-03-20,1987-04-02,68.25,71.75,62.250003,71.75,86800000,194320000,33476800,194320000
1987-04-03,1987-04-16,71.500001,71.500001,66.5,73.250001,134960000,86800000,35554400,134960000
1987-04-20,1987-05-01,71.500001,80.000002,69.500002,80.000002,37290400,33180000,33180000,108080000
1987-05-04,1987-05-15,79.499997,78.250002,75.000001,82.25,35526400,36489600,35526400,77840000
1987-05-18,1987-06-01,78.250002,77.749997,72.499997,80.5,60480000,20826400,20826400,72240000
1987-06-02,1987-06-15,77.499998,78.500001,76.750001,80.250001,34372800,64960000,25440800,64960000
1987-06-16,1987-06-29,41.499999,40.750001,37.999999,43.249999,85680000,25326000,20213200,85680000
1987-06-30,1987-07-14,40.499999,43.0,36.500001,43.0,36120000,64400000,20389600,85400000
1987-07-15,1987-07-28,43.0,41.875,40.499999,44.75,67760000,18572400,14159600,67760000
1987-07-29,1987-08-11,42.0,49.500001,40.000001,50.249999,24707200,67760000,15839600,67760000
1987-08-12,1987-08-25,49.500001,51.999999,48.0,53.749999,40320000,34160000,16718800,59360000
1987-08-26,1987-09-09,53.000001,52.749999,48.499999,55.25,49000000,39480000,23954000,57400000
1987-09-10,1987-09-23,53.25,55.25,50.249999,56.0,35000000,63644000,16699200,63644000
1987-09-24,1987-10-07,55.25,55.499999,54.25,59.749999,45640000,56000000,24124800,56000000
1987-10-08,1987-10-21,55.499999,40.499999,32.624999,56.0,41160000,133560000,36400000,142240000
1987-10-22,1987-11-04,39.25,36.0,27.625,43.0,96320000,58520000,47040000,113960000
1987-11-05,1987-11-18,36.249999,36.249999,34.499999,40.000001,63840000,66360000,38640000,67200000
1987-11-19,1987-12-03,36.500001,30.5,29.75,37.75,45640000,79800000,17670800,104160000
1987-12-04,1987-12-17,30.250001,39.25,29.75,40.750001,61040000,81480000,30520000,85400000
1987-12-18,1988-01-04,39.5,44.75,39.25,44.75,75600000,82600000,17486000,82600000
1988-01-05,1988-01-18,46.000001,42.75,39.5,46.25,77280000,31360000,31360000,121520000
1988-01-19,1988-02-01,42.249999,41.750001,38.250001,43.249999,68600000,49840000,35840000,170240000
1988-02-02,1988-02-16,41.499999,41.25,37.75,41.875,47880000,38640000,29120000,57120000
1988-02-17,1988-03-01,41.25,43.249999,41.25,43.75,64120000,42840000,20585600,64120000
1988-03-02,1988-03-15,43.75,44.999999,43.500001,47.750001,73080000,45360000,24530800,118440000
1988-03-16,1988-03-29,44.874999,41.0,39.5,46.5,29680000,53480000,29680000,80080000
1988-03-30,1988-04-13,40.750001,41.25,38.5,42.374999,92960000,35840000,35840000,92960000
1988-04-14,1988-04-27,40.499999,41.750001,38.5,42.0,47040000,31640000,26910800,58240000
1988-04-28,1988-05-11,41.750001,39.5,39.5,43.124999,24791200,43680000,17614800,56000000
1988-05-12,1988-05-25,39.5,38.5,37.375001,42.0,20745200,33880000,17850000,62440000
1988-05-26,1988-06-09,38.5,43.500001,38.5,45.5,21445200,67480000,20988800,77840000
1988-06-10,1988-06-23,43.500001,44.999999,43.0,46.000001,44240000,17847200,17847200,73105200
1988-06-24,1988-07-08,44.999999,45.250001,44.5,47.499999,18678800,26348000,18678800,40642000
1988-07-11,1988-07-22,45.5,42.500001,42.500001,46.000001,18407200,25961600,15702400,37256800
1988-07-25,1988-08-05,42.75,44.250001,42.249999,45.749999,26474000,13165600,13165600,39737600
1988-08-08,1988-08-19,44.5,40.750001,40.499999,44.75,7484400,56840000,7484400,56840000
1988-08-22,1988-09-02,40.25,39.749999,38.5,41.125,42548800,46575200,10038000,61684000
1988-09-06,1988-09-19,40.000001,41.750001,37.75,42.75,35862400,23032800,23032800,59642800
1988-09-20,1988-10-03,41.750001,42.500001,41.374999,44.250001,25670400,22694000,21173600,40745600
1988-10-04,1988-10-17,42.249999,38.5,37.5,42.75,12913600,23422000,12913600,114396800
1988-10-18,1988-10-31,39.000001,38.625,37.5,41.750001,35649600,60726400,21120400,69330800
1988-11-01,1988-11-14,38.5,38.874999,36.75,39.749999,35924000,21308000,21308000,60614400
1988-11-15,1988-11-29,39.000001,36.75,35.500001,39.25,20000400,23167200,12073600,55476400
1988-11-30,1988-12-13,36.75,38.749999,36.75,40.000001,41960800,30637600,11239200,83428800
1988-12-14,1988-12-28,38.5,40.25,38.5,42.0,48325200,12885600,10239600,68546800
1988-12-29,1989-01-12,40.25,42.75,40.000001,43.500001,29453200,37578800,19826800,76832000
1989-01-13,1989-01-26,42.75,41.750001,39.5,43.999999,48476400,71316000,27734000,189151200
1989-01-27,1989-02-09,38.250001,38.250001,36.249999,40.25,531792800,40202400,29184400,531792800
1989-02-10,1989-02-24,38.250001,36.0,35.249999,38.250001,87085600,38032400,23842000,222894000
1989-02-27,1989-03-10,36.0,35.0,34.0,36.75,28980000,25678800,25678800,96944400
1989-03-13,1989-03-27,35.0,33.750001,33.499999,35.75,32776800,37914800,22514800,59281600
1989-03-28,1989-04-10,34.0,36.999999,33.875001,37.999999,35313600,33843600,18600400,88746000
1989-04-11,1989-04-24,37.5,40.125,36.999999,41.625001,36635200,27697600,27697600,140246400
1989-04-25,1989-05-08,40.000001,42.249999,38.5,42.75,29044400,51480800,20165600,115189200
1989-05-09,1989-05-22,42.0,46.000001,42.0,46.25,86693600,47600000,47600000,116785200
1989-05-23,1989-06-06,46.000001,46.749999,45.250001,49.500001,33616800,36251600,27980400,74401600
1989-06-07,1989-06-20,46.749999,43.0,42.249999,50.249999,43918000,33633600,20216000,135500400
1989-06-21,1989-07-05,43.0,40.499999,39.5,44.250001,32466000,29789200,12087600,64257200
1989-07-06,1989-07-19,40.750001,40.499999,38.749999,42.0,43481200,59743600,26527200,119327600
1989-07-20,1989-08-02,40.750001,40.499999,37.75,41.25,59018400,25351200,25351200,59018400
1989-08-03,1989-08-16,40.499999,40.375,40.000001,45.749999,43234800,30133600,25706800,57520400
1989-08-17,1989-08-30,40.25,44.5,40.000001,44.999999,38329200,29024800,20414800,44226000
1989-08-31,1989-09-14,44.5,44.75,43.999999,46.749999,14072800,32821600,13958000,32821600
1989-09-15,1989-09-28,44.999999,45.5,43.0,46.000001,31217200,19854800,15789200,50240400
1989-09-29,1989-10-12,45.250001,48.750001,43.124999,50.375001,17452400,20661200,17452400,90426000
1989-10-13,1989-10-26,48.750001,45.250001,42.500001,49.500001,50279600,42316400,27974800,106229200
1989-10-27,1989-11-09,45.250001,46.000001,43.0,46.749999,32354000,22047200,15296400,113167600
1989-11-10,1989-11-24,45.749999,44.75,43.75,47.25,16214800,6963600,6963600,35061600
1989-11-27,1989-12-08,44.75,41.750001,41.0,45.749999,26286400,63145600,15862000,83745200
1989-12-11,1989-12-22,41.0,36.500001,32.5,41.499999,162503600,46146800,44497600,256354000
1989-12-26,1990-01-09,36.75,37.625,34.25,38.749999,33821200,21534800,21534800,64251600
1990-01-10,1990-01-23,37.625,33.750001,32.25,37.625,49929600,35218400,35218400,68322800
1990-01-24,1990-02-06,32.5,34.750001,32.125001,35.249999,42448000,18480000,18480000,45312400
1990-02-07,1990-02-21,33.000001,34.0,32.25,35.0,78111600,43976800,18729200,78111600
1990-02-22,1990-03-07,34.0,35.374999,32.749999,36.0,48795600,51055200,18488400,51055200
1990-03-08,1990-03-21,35.75,41.625001,35.0,43.0,55960800,38183600,25446400,161190400
1990-03-22,1990-04-04,41.750001,41.25,39.5,43.375001,57915200,37433200,21151200,57915200
1990-04-05,1990-04-19,41.0,40.25,39.5,44.250001,27048000,120369200,26370400,120369200
1990-04-20,1990-05-03,40.875001,40.000001,38.125001,41.499999,80880800,41577200,29103200,80880800
1990-05-04,1990-05-17,40.000001,41.499999,39.25,42.75,42383600,38396400,21826000,56596400
1990-05-18,1990-06-01,41.25,40.750001,38.749999,42.500001,64615600,39309200,25771200,80830400
1990-06-04,1990-06-15,40.750001,39.5,37.5,41.0,44856000,36036000,34736800,83470800
1990-06-18,1990-06-29,39.25,44.75,38.375,44.874999,27848800,81298000,24306800,81298000
1990-07-02,1990-07-16,44.5,45.625,43.249999,47.750001,33852000,44926000,24875200,90356000
1990-07-17,1990-07-30,45.749999,42.374999,40.000001,46.000001,34213200,21364000,15579200,146496000
1990-07-31,1990-08-13,42.500001,39.875001,37.874999,43.75,24001600,39029200,23377200,67242000
1990-08-14,1990-08-27,40.000001,37.75,33.499999,40.25,24542000,29366400,18354000,61527200
1990-08-28,1990-09-11,37.5,34.0,33.750001,38.375,20048000,44567600,14543200,44567600
1990-09-12,1990-09-25,34.499999,29.999999,29.249999,35.249999,25102000,39488400,19418000,45614800
1990-09-26,1990-10-09,29.999999,28.0,26.25,32.000001,23534000,30144800,15383200,67746000
1990-10-10,1990-10-23,27.25,30.999999,24.249999,31.749999,36976800,41762000,36976800,233433200
1990-10-24,1990-11-06,30.75,33.499999,28.875,34.499999,35456400,46191600,22663200,46191600
1990-11-07,1990-11-20,33.499999,35.500001,32.624999,37.250001,50744400,38407600,35487200,55977600
1990-11-21,1990-12-05,35.249999,40.125,34.750001,40.25,30802800,54597200,13300000,54597200
1990-12-06,1990-12-19,41.25,41.875,39.000001,42.75,133061600,35165200,21767200,133061600
1990-12-20,1991-01-04,41.25,43.249999,41.25,45.250001,100268000,35380800,11068400,100268000
1991-01-07,1991-01-18,43.0,50.249999,42.500001,52.749999,77700000,235810400,48014400,235810400
1991-01-21,1991-02-01,49.75,55.750001,49.75,57.875003,81076800,111137600,53888800,111137600
1991-02-04,1991-02-15,55.750001,57.624997,54.750001,61.499999,66962000,91403200,55641600,130043200
1991-02-19,1991-03-04,57.500001,58.375001,56.249999,62.250003,56562800,22089200,22089200,89818400
1991-03-05,1991-03-18,59.000002,67.750002,59.000002,68.25,110362000,53502400,43638000,130989600
1991-03-19,1991-04-02,66.5,72.750003,62.250003,72.750003,105548800,73231200,19675600,105548800
1991-04-03,1991-04-16,72.499997,64.250002,59.999998,73.250001,60032000,155195600,18118800,425096000
1991-04-17,1991-04-30,64.999999,55.0,54.499999,64.999999,80600800,177861600,26362000,177861600
1991-05-01,1991-05-14,48.0,53.5,47.000001,53.749999,467093200,54236000,44195200,467093200
1991-05-15,1991-05-29,51.5,47.000001,43.999999,51.999999,129586800,96000800,24281600,129586800
1991-05-30,1991-06-12,47.000001,42.374999,41.25,49.500001,39586400,108908800,33322800,108908800
1991-06-13,1991-06-26,42.500001,43.0,40.750001,43.500001,52841600,62610800,36010800,62610800
1991-06-27,1991-07-11,42.500001,46.749999,40.25,48.25,37800000,36478400,30035600,82888400
1991-07-12,1991-07-25,47.25,45.250001,42.249999,47.25,33188400,16450000,16450000,99579200
1991-07-26,1991-08-08,45.749999,50.500001,44.5,51.75,18558400,47362000,13325200,112106400
1991-08-09,1991-08-22,50.500001,54.25,48.499999,55.0,38600800,41412000,35632800,80620400
1991-08-23,1991-09-06,54.000001,51.5,50.500001,55.499999,60104800,19818400,16534000,60104800
1991-09-09,1991-09-20,51.75,50.625,46.5,53.5,31620400,47037200,29803200,51444400
1991-09-23,1991-10-04,50.0,48.25,47.499999,51.75,21915600,19843600,4496800,45250800
1991-10-07,1991-10-18,48.0,55.0,46.5,55.499999,16175600,111739600,16175600,111739600
1991-10-21,1991-11-01,55.25,50.999999,49.500001,56.249999,29173200,50316000,19465600,57951600
1991-11-04,1991-11-15,50.75,50.0,47.499999,55.25,48823600,64237600,41235600,93956800
1991-11-18,1991-12-02,50.0,51.75,49.75,52.5,59684800,29724800,8523200,71372000
1991-12-03,1991-12-16,51.999999,50.500001,48.499999,51.999999,25715200,19297600,19297600,49246400
1991-12-17,1991-12-31,50.500001,56.375002,50.0,57.999999,24460800,33507600,24460800,47140800
1992-01-02,1992-01-15,55.750001,63.499998,55.499999,64.999999,58408000,81435200,26964000,81435200
1992-01-16,1992-01-29,63.749997,63.249999,61.000001,68.999997,73382400,36139600,20862800,212088800
1992-01-30,1992-02-12,63.499998,65.249998,62.250003,66.749999,21778400,34490400,21610400,48232800
1992-02-13,1992-02-27,65.249998,68.499999,61.749998,70.0,19003600,30542400,17088400,57271200
1992-02-28,1992-03-12,68.499999,62.750001,61.499999,68.999997,22598800,38225600,22313200,59180800
1992-03-13,1992-03-26,63.249999,64.000003,61.749998,65.249998,19796000,30755200,12518800,52354400
1992-03-27,1992-04-09,63.875,57.250002,54.750001,64.000003,66133200,48034000,25496800,91756000
